  ENERO 2007,,,,,
Acateno,118,118,,295,2.5
Atempan,114,114,,285,2.5
Atlequizayan,160,160,,400,2.5
Ayotoxco de Guerrero,670,550,,"1,100",2
Caxhuacan,267,267,,668,2.5
Cuetzalan del Progreso,"4,430","3,900",,"9,750",2.5
Huehuetla,"1,255","1,200",,"3,600",3
Hueyapan,490,400,,"1,200",3
Hueytamalco,"5,780","3,500",,"14,000",4
Hueytlalpan,526,526,,"1,315",2.5
Huitzilan de Serdán,"1,789","1,600",,"8,000",5
Ixtepec,420,420,,"1,050",2.5
Jonotla,680,680,,"2,040",3
Olintla,"1,145","1,100",,"4,400",4
Teziutlán,63,63,,142,2.25
Tlatlauquitepec,"1,720","1,650",,"4,950",3
Tuzamapan de Galeana,630,630,,"1,575",2.5
Xochitlán de Vicente Suárez,725,700,,"2,100",3
Yaonáhuac,200,200,,600,3
Zacapoaxtla,22,22,,55,2.5
Zapotitlán de Méndez,500,500,,"1,250",2.5
Zongozotla,917,917,,"3,668",4
Zoquiapan,250,250,,750,3
TOTAL,"22,871","19,467",,"63,192",3.246
  FEBRERO 2007,,,,,
Acateno,118,118,,295,2.5
Atempan,114,114,,285,2.5
Atlequizayan,160,160,,400,2.5
Ayotoxco de Guerrero,670,670,,"1,340",2
Caxhuacan,267,267,,668,2.5
Cuetzalan del Progreso,"4,430","4,430",,"11,075",2.5
Huehuetla,"1,255","1,255",,"3,765",3
Hueyapan,490,490,,"1,470",3
Hueytamalco,"5,780","5,780",,"23,120",4
Hueytlalpan,526,526,,"1,315",2.5
Huitzilan de Serdán,"1,789","1,789",,"8,945",5
Ixtepec,420,420,,"1,050",2.5
Jonotla,680,680,,"2,040",3
Olintla,"1,145","1,145",,"4,580",4
Teziutlán,63,63,,142,2.25
Tlatlauquitepec,"1,720","1,720",,"5,160",3
Tuzamapan de Galeana,630,630,,"1,575",2.5
Xochitlán de Vicente Suárez,725,725,,"2,175",3
Yaonáhuac,200,200,,600,3
Zacapoaxtla,22,22,,55,2.5
Zapotitlán de Méndez,500,500,,"1,250",2.5
Zongozotla,917,917,,"3,668",4
Zoquiapan,250,250,,750,3
TOTAL,"22,871","22,871",,"75,722",3.311
  MARZO 2007,,,,,
Acateno,118,118,,295,2.5
Atempan,114,114,,285,2.5
Atlequizayan,160,160,,400,2.5
Ayotoxco de Guerrero,670,670,,"1,340",2
Caxhuacan,267,267,,668,2.5
Cuetzalan del Progreso,"4,430","4,430",,"11,075",2.5
Huehuetla,"1,255","1,255",,"3,765",3
Hueyapan,490,490,,"1,470",3
Hueytamalco,"5,780","5,780",,"23,120",4
Hueytlalpan,526,526,,"1,315",2.5
Huitzilan de Serdán,"1,789","1,789",,"8,945",5
Ixtepec,420,420,,"1,050",2.5
Jonotla,680,680,,"2,040",3
Olintla,"1,145","1,145",,"4,580",4
Teziutlán,63,63,,142,2.25
Tlatlauquitepec,"1,720","1,720",,"5,160",3
Tuzamapan de Galeana,630,630,,"1,575",2.5
Xochitlán de Vicente Suárez,725,725,,"2,175",3
Yaonáhuac,200,200,,600,3
Zacapoaxtla,22,22,,55,2.5
Zapotitlán de Méndez,500,500,,"1,250",2.5
Zongozotla,917,917,,"3,668",4
Zoquiapan,250,250,,750,3
TOTAL,"22,871","22,871",,"75,722",3.311
  ABRIL 2007,,,,,
Acateno,118,118,,295,2.5
Atempan,114,114,,285,2.5
Atlequizayan,160,160,,400,2.5
Ayotoxco de Guerrero,670,670,,"1,340",2
Caxhuacan,267,267,,668,2.5
Cuetzalan del Progreso,"4,430","4,430",,"11,075",2.5
Huehuetla,"1,255","1,255",,"3,765",3
Hueyapan,490,490,,"1,470",3
Hueytamalco,"5,780","5,780",,"23,120",4
Hueytlalpan,526,526,,"1,315",2.5
Huitzilan de Serdán,"1,789","1,789",,"8,945",5
Ixtepec,420,420,,"1,050",2.5
Jonotla,680,680,,"2,040",3
Olintla,"1,145","1,145",,"4,580",4
Teziutlán,63,63,,142,2.25
Tlatlauquitepec,"1,720","1,720",,"5,160",3
Tuzamapan de Galeana,630,630,,"1,575",2.5
Xochitlán de Vicente Suárez,725,725,,"2,175",3
Yaonáhuac,200,200,,600,3
Zacapoaxtla,22,22,,55,2.5
Zapotitlán de Méndez,500,500,,"1,250",2.5
Zongozotla,917,917,,"3,668",4
Zoquiapan,250,250,,750,3
TOTAL,"22,871","22,871",,"75,722",3.311
  MAYO 2007,,,,,
Acateno,118,118,,295,2.5
Atempan,114,114,,285,2.5
Atlequizayan,160,160,,400,2.5
Ayotoxco de Guerrero,670,670,,"1,340",2
Caxhuacan,267,267,,668,2.5
Cuetzalan del Progreso,"4,430","4,430",,"11,075",2.5
Huehuetla,"1,255","1,255",,"3,765",3
Hueyapan,490,490,,"1,470",3
Hueytamalco,"5,780","5,780",,"23,120",4
Hueytlalpan,526,526,,"1,315",2.5
Huitzilan de Serdán,"1,789","1,789",,"8,945",5
Ixtepec,420,420,,"1,050",2.5
Jonotla,680,680,,"2,040",3
Olintla,"1,145","1,145",,"4,580",4
Teziutlán,63,63,,142,2.25
Tlatlauquitepec,"1,720","1,720",,"5,160",3
Tuzamapan de Galeana,630,630,,"1,575",2.5
Xochitlán de Vicente Suárez,725,725,,"2,175",3
Yaonáhuac,200,200,,600,3
Zacapoaxtla,22,22,,55,2.5
Zapotitlán de Méndez,500,500,,"1,250",2.5
Zongozotla,917,917,,"3,668",4
Zoquiapan,250,250,,750,3
TOTAL,"22,871","22,871",,"75,722",3.311
  JUNIO 2007,,,,,
Acateno,118,118,,295,2.5
Atempan,114,114,,285,2.5
Atlequizayan,160,160,,400,2.5
Ayotoxco de Guerrero,670,670,,"1,340",2
Caxhuacan,267,267,,668,2.5
Cuetzalan del Progreso,"4,430","4,430",,"11,075",2.5
Huehuetla,"1,255","1,255",,"3,765",3
Hueyapan,490,490,,"1,470",3
Hueytamalco,"5,780","5,780",,"23,120",4
Hueytlalpan,526,526,,"1,315",2.5
Huitzilan de Serdán,"1,789","1,789",,"8,945",5
Ixtepec,420,420,,"1,050",2.5
Jonotla,680,680,,"2,040",3
Olintla,"1,145","1,145",,"4,580",4
Teziutlán,63,63,,142,2.25
Tlatlauquitepec,"1,720","1,720",,"5,160",3
Tuzamapan de Galeana,630,630,,"1,575",2.5
Xochitlán de Vicente Suárez,725,725,,"2,175",3
Yaonáhuac,200,200,,600,3
Zacapoaxtla,22,22,,55,2.5
Zapotitlán de Méndez,500,500,,"1,250",2.5
Zongozotla,917,917,,"3,668",4
Zoquiapan,250,250,,750,3
TOTAL,"22,871","22,871",,"75,722",3.311
  JULIO 2007,,,,,
Acateno,118,118,,295,2.5
Atempan,114,114,,285,2.5
Atlequizayan,160,160,,400,2.5
Ayotoxco de Guerrero,670,670,,"1,340",2
Caxhuacan,267,267,,668,2.5
Cuetzalan del Progreso,"4,430","4,430",,"11,075",2.5
Huehuetla,"1,255","1,255",,"3,765",3
Hueyapan,490,490,,"1,470",3
Hueytamalco,"5,780","5,780",,"23,120",4
Hueytlalpan,526,526,,"1,315",2.5
Huitzilan de Serdán,"1,789","1,789",,"8,945",5
Ixtepec,420,420,,"1,050",2.5
Jonotla,680,680,,"2,040",3
Olintla,"1,145","1,145",,"4,580",4
Teziutlán,63,63,,142,2.25
Tlatlauquitepec,"1,720","1,720",,"5,160",3
Tuzamapan de Galeana,630,630,,"1,575",2.5
Xochitlán de Vicente Suárez,725,725,,"2,175",3
Yaonáhuac,200,200,,600,3
Zacapoaxtla,22,22,,55,2.5
Zapotitlán de Méndez,500,500,,"1,250",2.5
Zongozotla,917,917,,"3,668",4
Zoquiapan,250,250,,750,3
TOTAL,"22,871","22,871",,"75,722",3.311
  AGOSTO 2007,,,,,
Acateno,118,118,,295,2.5
Atempan,114,114,,285,2.5
Atlequizayan,160,160,,400,2.5
Ayotoxco de Guerrero,670,670,,"1,340",2
Caxhuacan,267,267,,668,2.5
Cuetzalan del Progreso,"4,430","4,430",,"11,075",2.5
Huehuetla,"1,255","1,255",,"3,765",3
Hueyapan,490,490,,"1,470",3
Hueytamalco,"5,780","5,780",,"23,120",4
Hueytlalpan,526,526,,"1,315",2.5
Huitzilan de Serdán,"1,789","1,789",,"8,945",5
Ixtepec,420,420,,"1,050",2.5
Jonotla,680,680,,"2,040",3
Olintla,"1,145","1,145",,"4,580",4
Teziutlán,63,63,,142,2.25
Tlatlauquitepec,"1,720","1,720",,"5,160",3
Tuzamapan de Galeana,630,630,,"1,575",2.5
Xochitlán de Vicente Suárez,725,725,,"2,175",3
Yaonáhuac,200,200,,600,3
Zacapoaxtla,22,22,,55,2.5
Zapotitlán de Méndez,500,500,,"1,250",2.5
Zongozotla,917,917,,"3,668",4
Zoquiapan,250,250,,750,3
TOTAL,"22,871","22,871",,"75,722",3.311
  SEPTIEMBRE 2007,,,,,
Acateno,118,118,,295,2.5
Atempan,114,114,,285,2.5
Atlequizayan,160,160,,400,2.5
Ayotoxco de Guerrero,670,670,,"1,340",2
Caxhuacan,267,267,,668,2.5
Cuetzalan del Progreso,"4,430","4,430",,"11,075",2.5
Huehuetla,"1,255","1,255",,"3,765",3
Hueyapan,490,490,,"1,470",3
Hueytamalco,"5,780","5,780",,"23,120",4
Hueytlalpan,526,526,,"1,315",2.5
Huitzilan de Serdán,"1,789","1,789",,"8,945",5
Ixtepec,420,420,,"1,050",2.5
Jonotla,680,680,,"2,040",3
Olintla,"1,145","1,145",,"4,580",4
Teziutlán,63,63,,142,2.25
Tlatlauquitepec,"1,720","1,720",,"5,160",3
Tuzamapan de Galeana,630,630,,"1,575",2.5
Xochitlán de Vicente Suárez,725,725,,"2,175",3
Yaonáhuac,200,200,,600,3
Zacapoaxtla,22,22,,55,2.5
