Acateno,118.00,118.00,,295.00,2.50
Atempan,114.00,114.00,,285.00,2.50
Atlequizayan,160.00,160.00,,400.00,2.50
Ayotoxco de Guerrero,670.00,550.00,,1100.00,2.00
Caxhuacan,267.00,267.00,,668.00,2.50
Cuetzalan del Progreso,4430.00,3900.00,,9750.00,2.50
Huehuetla,1255.00,1200.00,,3600.00,3.00
Hueyapan,490.00,400.00,,1200.00,3.00
Hueytamalco,5780.00,3500.00,,14000.00,4.00
Hueytlalpan,526.00,526.00,,1315.00,2.50
Huitzilan de Serdÿn,1789.00,1600.00,,8000.00,5.00
Ixtepec,420.00,420.00,,1050.00,2.50
Jonotla,680.00,680.00,,2040.00,3.00
Olintla,1145.00,1100.00,,4400.00,4.00
Teziutlÿn,63.00,63.00,,142.00,2.25
Tlatlauquitepec,1720.00,1650.00,,4950.00,3.00
Tuzamapan de Galeana,630.00,630.00,,1575.00,2.50
Xochitlÿn de Vicente Suÿrez,725.00,700.00,,2100.00,3.00
Yaonÿhuac,200.00,200.00,,600.00,3.00
Zacapoaxtla,22.00,22.00,,55.00,2.50
Zapotitlÿn de M?ndez,500.00,500.00,,1250.00,2.50
Zongozotla,917.00,917.00,,3668.00,4.00
Zoquiapan,250.00,250.00,,750.00,3.00
TOTAL,22871.00,19467.00,,63192.00,3.25
